series,measure,rho_full,pval_full,rho_pre,pval_pre,rho_covid,pval_covid,rho_rate,pval_rate
Nifty50,shannon,-0.4314,0.0,-0.2642,0.0,-0.5929,0.0,-0.5657,0.0
Nifty50,apen,0.3145,0.0,0.1201,0.0,0.4896,0.0,0.4258,0.0
Nifty50,sampen,-0.2144,0.0,-0.1108,0.0,-0.1566,0.0003,-0.434,0.0
IT,shannon,-0.3023,0.0,-0.529,0.0,-0.3101,0.0,-0.0136,0.6508
IT,apen,0.193,0.0,0.2861,0.0,0.1105,0.0117,0.111,0.0002
IT,sampen,-0.2617,0.0,-0.2712,0.0,-0.5015,0.0,-0.2058,0.0
Pharma,shannon,-0.1346,0.0,-0.0565,0.0113,-0.2375,0.0,0.0593,0.0486
Pharma,apen,-0.122,0.0,-0.2877,0.0,0.3064,0.0,-0.1343,0.0
Pharma,sampen,-0.1573,0.0,-0.0396,0.0757,-0.5747,0.0,-0.2948,0.0
FMCG,shannon,-0.3252,0.0,-0.3318,0.0,-0.3221,0.0,-0.1517,0.0
FMCG,apen,0.1861,0.0,0.1888,0.0,0.1606,0.0002,-0.0406,0.1769
FMCG,sampen,-0.1281,0.0,-0.1367,0.0,-0.4044,0.0,-0.145,0.0
Bank,shannon,-0.2005,0.0,-0.1356,0.0,-0.3147,0.0,-0.3795,0.0
Bank,apen,0.2231,0.0,0.2065,0.0,0.1868,0.0,0.3422,0.0
Bank,sampen,-0.0266,0.109,-0.0861,0.0001,0.2924,0.0,-0.2408,0.0
Auto,shannon,-0.3348,0.0,-0.2564,0.0,-0.3094,0.0,-0.3115,0.0
Auto,apen,0.2548,0.0,0.2449,0.0,0.124,0.0047,0.1552,0.0
Auto,sampen,-0.2171,0.0,-0.2474,0.0,-0.1585,0.0003,-0.251,0.0
Metal,shannon,-0.3325,0.0,-0.2168,0.0,-0.3356,0.0,-0.5474,0.0
Metal,apen,0.1244,0.0,0.0052,0.8155,0.1852,0.0,0.4508,0.0
Metal,sampen,-0.0477,0.004,-0.0506,0.0232,-0.0924,0.0353,-0.0807,0.0072
Realty,shannon,-0.1498,0.0,-0.1638,0.0,-0.0858,0.0508,-0.1055,0.0004
Realty,apen,0.1671,0.0,0.1712,0.0,-0.0079,0.8583,0.1388,0.0
Realty,sampen,-0.1574,0.0,-0.1334,0.0,0.0002,0.997,-0.1834,0.0
Energy,shannon,-0.2635,0.0,-0.276,0.0,-0.4417,0.0,-0.0866,0.004
Energy,apen,0.2039,0.0,0.1809,0.0,0.4534,0.0,0.0389,0.1958
Energy,sampen,-0.2076,0.0,-0.2178,0.0,-0.1769,0.0001,-0.1191,0.0001
SP500,shannon,0.0444,0.0074,0.0735,0.001,-0.4163,0.0,0.0504,0.0941
SP500,apen,0.0152,0.3591,0.0425,0.057,0.0592,0.178,0.1026,0.0006
SP500,sampen,-0.0064,0.6997,-0.0213,0.3402,-0.1277,0.0036,-0.09,0.0027
US_Tech,shannon,0.0544,0.001,0.0346,0.1213,-0.4648,0.0,-0.0717,0.017
US_Tech,apen,0.1376,0.0,0.2858,0.0,0.2656,0.0,0.3622,0.0
US_Tech,sampen,-0.1638,0.0,-0.033,0.1393,-0.4984,0.0,0.2951,0.0
US_Health,shannon,-0.1037,0.0,-0.0525,0.0186,-0.4648,0.0,0.0274,0.3619
US_Health,apen,0.0332,0.0457,0.048,0.0315,0.0254,0.563,-0.0421,0.1613
US_Health,sampen,-0.0293,0.0774,-0.0735,0.001,-0.1396,0.0014,0.1417,0.0
US_Energy,shannon,-0.1226,0.0,-0.095,0.0,-0.5006,0.0,-0.1937,0.0
US_Energy,apen,-0.0163,0.3273,-0.0147,0.5102,-0.0548,0.2124,0.2027,0.0
US_Energy,sampen,-0.0991,0.0,-0.1741,0.0,-0.0612,0.1641,-0.1803,0.0
US_Financials,shannon,-0.1138,0.0,-0.0101,0.6506,-0.5472,0.0,-0.2937,0.0
US_Financials,apen,0.1151,0.0,0.1072,0.0,0.3221,0.0,0.2299,0.0
US_Financials,sampen,-0.0532,0.0013,0.041,0.0663,-0.2273,0.0,-0.0802,0.0076
US_ConsDisc,shannon,0.011,0.5058,-0.0803,0.0003,-0.2894,0.0,0.0005,0.9862
US_ConsDisc,apen,0.0,0.9994,0.093,0.0,0.1241,0.0046,0.2506,0.0
US_ConsDisc,sampen,-0.1073,0.0,-0.0595,0.0076,-0.2232,0.0,-0.1959,0.0
US_ConsStap,shannon,-0.3514,0.0,-0.1763,0.0,-0.6409,0.0,-0.5526,0.0
US_ConsStap,apen,0.0763,0.0,0.037,0.0973,0.2845,0.0,0.2814,0.0
US_ConsStap,sampen,-0.2444,0.0,-0.1046,0.0,-0.6304,0.0,-0.3683,0.0
US_Industrial,shannon,-0.0387,0.0196,0.0411,0.0653,-0.2609,0.0,-0.2383,0.0
US_Industrial,apen,0.0326,0.0492,0.0574,0.0101,-0.2407,0.0,0.3222,0.0
US_Industrial,sampen,-0.0523,0.0016,-0.0764,0.0006,-0.4026,0.0,0.1131,0.0002
US_Materials,shannon,-0.0276,0.0961,0.0241,0.2802,-0.4187,0.0,0.0129,0.6692
US_Materials,apen,0.0248,0.135,0.1059,0.0,0.2451,0.0,-0.117,0.0001
US_Materials,sampen,-0.0873,0.0,-0.0195,0.3831,-0.4286,0.0,-0.0975,0.0012
