series,measure,rho_fwd1m,pval_fwd1m,rho_fwd3m,pval_fwd3m
Nifty50,shannon,-0.0439,0.0083,-0.0059,0.723
Nifty50,apen,0.0828,0.0,0.0594,0.0004
Nifty50,sampen,-0.0251,0.1316,0.0123,0.4643
IT,shannon,-0.0681,0.0,-0.1331,0.0
IT,apen,0.1146,0.0,0.1909,0.0
IT,sampen,-0.0009,0.9584,-0.0259,0.1216
Pharma,shannon,-0.0272,0.1023,-0.0083,0.6217
Pharma,apen,0.0505,0.0024,0.0834,0.0
Pharma,sampen,0.0067,0.6888,0.0818,0.0
FMCG,shannon,0.028,0.0924,-0.0356,0.0335
FMCG,apen,-0.0572,0.0006,-0.1143,0.0
FMCG,sampen,-0.0955,0.0,-0.2344,0.0
Bank,shannon,0.0837,0.0,0.1788,0.0
Bank,apen,-0.0976,0.0,-0.1428,0.0
Bank,sampen,0.0396,0.0172,0.2554,0.0
Auto,shannon,-0.038,0.0225,-0.0176,0.294
Auto,apen,0.1018,0.0,0.0806,0.0
Auto,sampen,-0.0467,0.005,0.0152,0.3644
Metal,shannon,-0.1353,0.0,-0.2088,0.0
Metal,apen,0.0289,0.0825,0.0088,0.5991
Metal,sampen,0.0236,0.1559,0.054,0.0012
Realty,shannon,-0.0472,0.0046,-0.1353,0.0
Realty,apen,-0.0134,0.4203,0.0707,0.0
Realty,sampen,-0.0531,0.0014,-0.0298,0.0749
Energy,shannon,-0.0044,0.7914,0.0252,0.1325
Energy,apen,-0.0282,0.0904,-0.0099,0.553
Energy,sampen,0.0221,0.1838,0.0772,0.0
SP500,shannon,-0.0222,0.1815,-0.1002,0.0
SP500,apen,-0.0245,0.1412,0.0263,0.1161
SP500,sampen,-0.1256,0.0,-0.1128,0.0
US_Tech,shannon,-0.0283,0.0889,-0.0925,0.0
US_Tech,apen,0.0661,0.0001,0.0866,0.0
US_Tech,sampen,-0.128,0.0,-0.1915,0.0
US_Health,shannon,-0.0055,0.7391,-0.0232,0.1651
US_Health,apen,-0.0548,0.001,-0.0507,0.0024
US_Health,sampen,-0.0066,0.6935,-0.0524,0.0017
US_Energy,shannon,0.073,0.0,0.1686,0.0
US_Energy,apen,0.0295,0.0764,0.0483,0.0039
US_Energy,sampen,-0.0503,0.0025,0.1138,0.0
US_Financials,shannon,-0.0589,0.0004,-0.0714,0.0
US_Financials,apen,-0.0437,0.0087,-0.0151,0.3666
US_Financials,sampen,-0.0571,0.0006,-0.0711,0.0
US_ConsDisc,shannon,-0.0343,0.0395,-0.1337,0.0
US_ConsDisc,apen,0.027,0.1046,0.1041,0.0
US_ConsDisc,sampen,-0.1404,0.0,-0.0847,0.0
US_ConsStap,shannon,-0.0465,0.0052,-0.062,0.0002
US_ConsStap,apen,0.0094,0.5716,0.0347,0.0383
US_ConsStap,sampen,-0.0918,0.0,-0.0913,0.0
US_Industrial,shannon,0.023,0.1675,-0.0508,0.0024
US_Industrial,apen,0.0229,0.1692,0.0071,0.672
US_Industrial,sampen,0.0224,0.1788,-0.049,0.0034
US_Materials,shannon,-0.0079,0.6372,-0.0768,0.0
US_Materials,apen,0.0046,0.7831,0.0665,0.0001
US_Materials,sampen,0.0461,0.0056,-0.0208,0.2133
